u1 btsinfo /home/FTP/u1 0800-1700 10 999 192.168.100.0/24 100 50
u2 btsinfo /home/FTP/u2 0800-1700 10 999 192.168.100.0/24 100 50
u3 btsinfo /home/FTP/u3 0800-1700 10 999 192.168.100.0/24 100 50
u4 btsinfo /home/FTP/u4 0800-1700 10 999 192.168.100.0/24 999 999
u5 btsinfo /home/FTP/u5 1000-1400 10 999 192.168.100.0/24 999 999
u6 btsinfo /home/FTP/u6 1000-1400 10 999 192.168.100.0/24 999 999
u7 btsinfo /home/FTP/u7 1000-1400 10 999 192.168.100.0/24 999 999
u8 btsinfo /home/FTP/u8 1000-1400 999 10 192.168.100.0/24 999 999
u9 btsinfo /home/FTP/u9 1000-1400 999 10 192.168.100.0/24 999 999 
u10 btsinfo /home/FTP/u10 1000-1400 999 10 192.168.100.0/24 999 999
